50 100
1 1 T
1 2 H
1 3 T
1 4 T
1 5 B
1 6 N
1 7 H
1 8 N
1 9 B
1 10 N
1 11 N
1 12 N
1 13 N
1 14 N
1 15 T
1 16 H
1 17 N
1 18 B
1 19 N
1 20 T
1 21 B
1 22 N
1 23 T
1 24 H
1 25 N
1 26 N
1 27 N
1 28 H
1 29 T
1 30 B
1 31 H
1 32 N
1 33 T
1 34 B
1 35 H
1 36 N
1 37 N
1 38 N
1 39 H
1 40 N
1 41 N
1 42 N
1 43 T
1 44 N
1 45 N
1 46 T
1 47 B
1 48 N
1 49 N
1 50 N
1 51 T
1 52 H
1 53 H
1 54 B
1 55 N
1 56 N
1 57 N
1 58 H
1 59 B
1 60 T
1 61 N
1 62 H
1 63 N
1 64 H
1 65 N
1 66 N
1 67 N
1 68 N
1 69 N
1 70 T
1 71 N
1 72 N
1 73 B
1 74 N
1 75 N
1 76 T
1 77 H
1 78 T
1 79 B
1 80 N
1 81 N
1 82 T
1 83 N
1 84 N
1 85 B
1 86 N
1 87 T
1 88 H
1 89 T
1 90 H
1 91 N
1 92 H
1 93 N
1 94 H
1 95 N
1 96 N
1 97 N
1 98 N
1 99 N
1 100 T
2 1 T
2 2 B
2 3 T
2 4 N
2 5 N
2 6 N
2 7 T
2 8 T
2 9 H
2 10 N
2 11 T
2 12 N
2 13 N
2 14 N
2 15 H
2 16 T
2 17 H
2 18 T
2 19 T
2 20 N
2 21 N
2 22 H
2 23 H
2 24 B
2 25 N
2 26 N
2 27 N
2 28 N
2 29 N
2 30 N
2 31 N
2 32 N
2 33 B
2 34 T
2 35 N
2 36 N
2 37 N
2 38 N
2 39 N
2 40 H
2 41 N
2 42 N
2 43 N
2 44 T
2 45 H
2 46 N
2 47 H
2 48 N
2 49 T
2 50 N
2 51 N
2 52 T
2 53 H
2 54 N
2 55 N
2 56 N
2 57 N
2 58 N
2 59 N
2 60 B
2 61 N
2 62 T
2 63 H
2 64 T
2 65 H
2 66 N
2 67 N
2 68 H
2 69 H
2 70 T
2 71 B
2 72 N
2 73 H
2 74 N
2 75 T
2 76 B
2 77 N
2 78 N
2 79 N
2 80 N
2 81 N
2 82 B
2 83 H
2 84 N
2 85 N
2 86 B
2 87 N
2 88 H
2 89 T
2 90 N
2 91 T
2 92 N
2 93 H
2 94 N
2 95 N
2 96 T
2 97 N
2 98 N
2 99 B
2 100 N
3 1 N
3 2 N
3 3 N
3 4 N
3 5 H
3 6 N
3 7 N
3 8 N
3 9 N
3 10 H
3 11 H
3 12 T
3 13 N
3 14 T
3 15 H
3 16 N
3 17 N
3 18 N
3 19 T
3 20 N
3 21 B
3 22 T
3 23 H
3 24 N
3 25 N
3 26 B
3 27 N
3 28 T
3 29 N
3 30 N
3 31 N
3 32 H
3 33 N
3 34 N
3 35 N
3 36 B
3 37 N
3 38 N
3 39 N
3 40 N
3 41 T
3 42 T
3 43 T
3 44 H
3 45 N
3 46 N
3 47 H
3 48 T
3 49 N
3 50 N
3 51 H
3 52 T
3 53 H
3 54 N
3 55 H
3 56 N
3 57 N
3 58 T
3 59 T
3 60 H
3 61 N
3 62 B
3 63 T
3 64 T
3 65 H
3 66 N
3 67 T
3 68 N
3 69 N
3 70 H
3 71 N
3 72 N
3 73 B
3 74 N
3 75 T
3 76 N
3 77 N
3 78 N
3 79 H
3 80 H
3 81 T
3 82 H
3 83 N
3 84 N
3 85 H
3 86 T
3 87 H
3 88 H
3 89 N
3 90 H
3 91 N
3 92 N
3 93 H
3 94 N
3 95 T
3 96 N
3 97 N
3 98 N
3 99 H
3 100 N
4 1 N
4 2 N
4 3 N
4 4 H
4 5 N
4 6 B
4 7 N
4 8 N
4 9 H
4 10 N
4 11 H
4 12 H
4 13 N
4 14 T
4 15 N
4 16 N
4 17 N
4 18 N
4 19 H
4 20 B
4 21 T
4 22 B
4 23 N
4 24 N
4 25 H
4 26 H
4 27 N
4 28 N
4 29 H
4 30 B
4 31 N
4 32 N
4 33 T
4 34 N
4 35 N
4 36 N
4 37 T
4 38 H
4 39 H
4 40 T
4 41 N
4 42 T
4 43 N
4 44 T
4 45 H
4 46 H
4 47 T
4 48 N
4 49 B
4 50 N
4 51 N
4 52 H
4 53 T
4 54 N
4 55 N
4 56 H
4 57 N
4 58 T
4 59 N
4 60 T
4 61 N
4 62 B
4 63 N
4 64 H
4 65 B
4 66 H
4 67 B
4 68 T
4 69 B
4 70 N
4 71 H
4 72 T
4 73 N
4 74 N
4 75 N
4 76 T
4 77 H
4 78 N
4 79 H
4 80 N
4 81 N
4 82 T
4 83 N
4 84 N
4 85 T
4 86 H
4 87 B
4 88 H
4 89 N
4 90 T
4 91 N
4 92 N
4 93 T
4 94 N
4 95 N
4 96 H
4 97 T
4 98 N
4 99 B
4 100 T
5 1 H
5 2 H
5 3 N
5 4 N
5 5 H
5 6 H
5 7 N
5 8 N
5 9 H
5 10 H
5 11 T
5 12 N
5 13 H
5 14 N
5 15 T
5 16 N
5 17 N
5 18 T
5 19 B
5 20 H
5 21 B
5 22 N
5 23 N
5 24 N
5 25 N
5 26 B
5 27 T
5 28 N
5 29 B
5 30 B
5 31 N
5 32 N
5 33 N
5 34 N
5 35 T
5 36 N
5 37 H
5 38 H
5 39 H
5 40 N
5 41 N
5 42 T
5 43 N
5 44 N
5 45 H
5 46 N
5 47 H
5 48 T
5 49 N
5 50 N
5 51 T
5 52 N
5 53 H
5 54 H
5 55 T
5 56 N
5 57 T
5 58 N
5 59 N
5 60 N
5 61 T
5 62 N
5 63 N
5 64 N
5 65 N
5 66 B
5 67 H
5 68 N
5 69 T
5 70 N
5 71 H
5 72 N
5 73 N
5 74 N
5 75 H
5 76 N
5 77 N
5 78 N
5 79 H
5 80 B
5 81 T
5 82 T
5 83 T
5 84 N
5 85 H
5 86 N
5 87 N
5 88 N
5 89 H
5 90 T
5 91 N
5 92 N
5 93 N
5 94 T
5 95 B
5 96 T
5 97 N
5 98 T
5 99 T
5 100 T
6 1 N
6 2 N
6 3 N
6 4 H
6 5 N
6 6 N
6 7 N
6 8 H
6 9 T
6 10 B
6 11 T
6 12 N
6 13 H
6 14 N
6 15 N
6 16 N
6 17 T
6 18 N
6 19 B
6 20 N
6 21 H
6 22 T
6 23 T
6 24 B
6 25 H
6 26 B
6 27 N
6 28 H
6 29 T
6 30 T
6 31 H
6 32 N
6 33 N
6 34 N
6 35 T
6 36 N
6 37 N
6 38 T
6 39 H
6 40 N
6 41 T
6 42 N
6 43 H
6 44 N
6 45 H
6 46 B
6 47 N
6 48 N
6 49 N
6 50 T
6 51 N
6 52 N
6 53 T
6 54 H
6 55 N
6 56 N
6 57 N
6 58 H
6 59 N
6 60 B
6 61 N
6 62 N
6 63 T
6 64 N
6 65 N
6 66 B
6 67 N
6 68 H
